card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,resumen_justificacion_categoria,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge
3255564010-A,3255564010,merged_after_rework,closed,true,826168160,https://github.com/docling-project/docling/pull/1975,,2.401,2.731,2.401,primera_review_aprobada,
3256236380-A,3256236380,merged_after_rework,closed,true,946174307,https://github.com/modelcontextprotocol/csharp-sdk/pull/645,,3.361,4.205,3.361,primera_review_aprobada,
3261628283-A,3261628283,merged_after_rework,closed,true,93882897,https://github.com/shader-slang/slang/pull/7915,,1.055,5.137,1.055,primera_review_aprobada,
3262092562-A,3262092562,merged_after_rework,closed,true,561788386,https://github.com/irihitech/Semi.Avalonia/pull/646,,3.471,3.474,3.471,primera_review_aprobada,
3263074697-A,3263074697,merged_after_rework,closed,true,331251676,https://github.com/samchon/nestia/pull/1345,,,24.546,24.546,merge_sin_review_aprobada,
3266983404-A,3266983404,merged_after_rework,closed,true,715152522,https://github.com/Ljzd-PRO/KToolBox/pull/265,,,40.093,40.093,merge_sin_review_aprobada,
3271579785-A,3271579785,merged_after_rework,closed,true,35890081,https://github.com/dotnet/docs/pull/47606,,0.239,16.805,0.239,primera_review_aprobada,
3130792767-A,3130792767,merged_after_rework,closed,true,597502256,https://github.com/keephq/keep/pull/4994,,15.214,15.219,15.214,primera_review_aprobada,
3131174613-A,3131174613,merged_after_rework,closed,true,33837371,https://github.com/getsentry/sentry-docs/pull/13971,,0.430,1.028,0.430,primera_review_aprobada,
3131698049-A,3131698049,merged_after_rework,closed,true,671269505,https://github.com/BerriAI/litellm/pull/11564,,,0.002,0.002,merge_sin_review_aprobada,
3133836979-A,3133836979,merged_after_rework,closed,true,873328,https://github.com/getsentry/sentry/pull/93224,,200.331,200.517,200.331,primera_review_aprobada,
3133978465-A,3133978465,merged_after_rework,closed,true,665613753,https://github.com/elie222/inbox-zero/pull/498,,,2.777,2.777,merge_sin_review_aprobada,
3135169379-A,3135169379,merged_after_rework,closed,true,33837371,https://github.com/getsentry/sentry-docs/pull/13994,,226.671,226.976,226.671,primera_review_aprobada,
3148367585-A,3148367585,merged_after_rework,closed,true,357728969,https://github.com/oven-sh/bun/pull/20419,,41.416,41.712,41.416,primera_review_aprobada,
3154921524-A,3154921524,merged_after_rework,closed,true,117757315,https://github.com/getsentry/relay/pull/4821,,57.242,57.242,57.242,primera_review_aprobada,
3154952530-A,3154952530,merged_after_rework,closed,true,899127822,https://github.com/WorkflowAI/WorkflowAI/pull/489,,2.516,16.761,2.516,primera_review_aprobada,
3161958337-A,3161958337,merged_after_rework,closed,true,59370571,https://github.com/electricitymaps/electricitymaps-contrib/pull/8235,,3.459,3.559,3.459,primera_review_aprobada,
3179930805-A,3179930805,merged_after_rework,closed,true,917358773,https://github.com/trycompai/comp/pull/1072,,,0.594,0.594,merge_sin_review_aprobada,
3184110162-A,3184110162,merged_after_rework,closed,true,873328,https://github.com/getsentry/sentry/pull/94573,,99.599,116.369,99.599,primera_review_aprobada,
3190006754-A,3190006754,merged_after_rework,closed,true,965250949,https://github.com/theopenco/llmgateway/pull/420,,7.350,49.471,7.350,primera_review_aprobada,
3203378613-A,3203378613,merged_after_rework,closed,true,668493044,https://github.com/514-labs/moose/pull/2531,,71.152,123.380,71.152,primera_review_aprobada,
3217026130-A,3217026130,merged_after_rework,closed,true,529729250,https://github.com/thirdweb-dev/js/pull/7574,,,2.562,2.562,merge_sin_review_aprobada,
3219092077-A,3219092077,merged_after_rework,closed,true,175391102,https://github.com/acts-project/acts/pull/4414,,43.549,55.635,43.549,primera_review_aprobada,
3235036061-A,3235036061,merged_after_rework,closed,true,98913726,https://github.com/getsentry/sentry-dart/pull/3084,,28.396,122.119,28.396,primera_review_aprobada,
2761376844-A,2761376844,merged_after_rework,closed,true,742063678,https://github.com/crewAIInc/crewAI-tools/pull/160,,0.140,0.229,0.140,primera_review_aprobada,
2763395657-A,2763395657,merged_after_rework,closed,true,710601088,https://github.com/crewAIInc/crewAI/pull/1820,,4.072,4.079,4.072,primera_review_aprobada,
2766513428-A,2766513428,merged_after_rework,closed,true,526617419,https://github.com/LIT-Protocol/js-sdk/pull/754,,93.407,310.512,93.407,primera_review_aprobada,
2788912798-A,2788912798,merged_after_rework,closed,true,275993885,https://github.com/appsmithorg/appsmith/pull/38656,,24.859,29.876,24.859,primera_review_aprobada,
2797157546-A,2797157546,merged_after_rework,closed,true,553878560,https://github.com/modal-labs/modal-client/pull/2781,,7.277,7.278,7.277,primera_review_aprobada,
2821659019-A,2821659019,merged_after_rework,closed,true,283046497,https://github.com/airbytehq/airbyte/pull/52663,,226.175,226.389,226.175,primera_review_aprobada,
2824282372-A,2824282372,merged_after_rework,closed,true,425803244,https://github.com/pyth-network/pyth-crosschain/pull/2318,,2.130,2.131,2.130,primera_review_aprobada,
