card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,resumen_justificacion_categoria,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge
3190616003-A,3190616003,merged_after_rework,closed,true,1322770,https://github.com/aaronpowell/httpstatus/pull/164,,,1.597,1.597,merge_sin_review_aprobada,
3192728541-A,3192728541,merged_after_rework,closed,true,126311570,https://github.com/zfit/zfit/pull/644,,41.621,172.036,41.621,primera_review_aprobada,
3193094223-A,3193094223,merged_after_rework,closed,true,552832415,https://github.com/Azure/azqr/pull/491,,1.071,1.167,1.071,primera_review_aprobada,
3195214066-A,3195214066,merged_after_rework,closed,true,999686447,https://github.com/microsoft/vscode-copilot-chat/pull/92,,33.764,35.771,33.764,primera_review_aprobada,
3195598738-A,3195598738,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16533,,1.252,1.257,1.252,primera_review_aprobada,
3195801570-A,3195801570,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/10203,,191.887,214.604,191.887,primera_review_aprobada,
3195969460-A,3195969460,merged_after_rework,closed,true,991787132,https://github.com/linux-do/cdk/pull/27,,0.118,0.400,0.118,primera_review_aprobada,
3196128756-A,3196128756,merged_after_rework,closed,true,35890081,https://github.com/dotnet/docs/pull/47075,,25.323,145.642,25.323,primera_review_aprobada,
3196952174-A,3196952174,merged_after_rework,closed,true,511141524,https://github.com/valkey-io/valkey-glide/pull/4287,,0.734,19.524,0.734,primera_review_aprobada,
3198374664-A,3198374664,merged_after_rework,closed,true,694946961,https://github.com/AfterShip/clickhouse-sql-parser/pull/172,,0.241,0.244,0.241,primera_review_aprobada,
3198732250-A,3198732250,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16551,,2.011,14.098,2.011,primera_review_aprobada,
3199332203-A,3199332203,merged_after_rework,closed,true,885594725,https://github.com/humanwhocodes/crosspost/pull/104,,8.330,8.332,8.330,primera_review_aprobada,
3199964804-A,3199964804,merged_after_rework,closed,true,898171798,https://github.com/microsoft/fabric-cicd/pull/394,,96.907,99.276,96.907,primera_review_aprobada,
3200243112-A,3200243112,merged_after_rework,closed,true,42490910,https://github.com/iovisor/ubpf/pull/672,,0.116,171.662,0.116,primera_review_aprobada,
3204148886-A,3204148886,merged_after_rework,closed,true,816422401,https://github.com/sysadminsmedia/homebox/pull/862,,0.495,0.500,0.495,primera_review_aprobada,
3208545473-A,3208545473,merged_after_rework,closed,true,29048891,https://github.com/dotnet/fsharp/pull/18737,,98.356,102.197,98.356,primera_review_aprobada,
3208915386-A,3208915386,merged_after_rework,closed,true,210716005,https://github.com/dotnet/runtime/pull/117365,,1.096,31.244,1.096,primera_review_aprobada,
3209569709-A,3209569709,merged_after_rework,closed,true,967503541,https://github.com/Azure/azure-mcp/pull/525,,0.657,3.873,0.657,primera_review_aprobada,
3209650898-A,3209650898,merged_after_rework,closed,true,222508781,https://github.com/dotnet/android-libraries/pull/1198,,235.946,236.002,235.946,primera_review_aprobada,
3210172444-A,3210172444,merged_after_rework,closed,true,185841694,https://github.com/CoreWCF/CoreWCF/pull/1621,,360.253,362.423,360.253,primera_review_aprobada,
3212763311-A,3212763311,merged_after_rework,closed,true,35890081,https://github.com/dotnet/docs/pull/47134,,148.617,172.379,148.617,primera_review_aprobada,
3216197213-A,3216197213,merged_after_rework,closed,true,540012802,https://github.com/Azure/awesome-azd/pull/623,,4.367,11.719,4.367,primera_review_aprobada,
3219282636-A,3219282636,merged_after_rework,closed,true,826168160,https://github.com/docling-project/docling/pull/1926,,1.395,18.839,1.395,primera_review_aprobada,
3221925890-A,3221925890,merged_after_rework,closed,true,984142834,https://github.com/microsoft/azure-devops-mcp/pull/247,,274.719,292.007,274.719,primera_review_aprobada,
3222280386-A,3222280386,merged_after_rework,closed,true,679784368,https://github.com/microsoft/genaiscript/pull/1724,,,0.675,0.675,merge_sin_review_aprobada,
3222379511-A,3222379511,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/10320,,2.279,2.495,2.279,primera_review_aprobada,
3222480219-A,3222480219,merged_after_rework,closed,true,141846986,https://github.com/PyO3/maturin/pull/2674,,1.518,1.861,1.518,primera_review_aprobada,
3224542009-A,3224542009,merged_after_rework,closed,true,23247808,https://github.com/rqlite/rqlite/pull/2156,,,15.497,15.497,merge_sin_review_aprobada,
3224573846-A,3224573846,merged_after_rework,closed,true,17620347,https://github.com/dotnet/aspnetcore/pull/62692,,68.016,68.993,68.016,primera_review_aprobada,
3225087415-A,3225087415,merged_after_rework,closed,true,834237471,https://github.com/hamster1963/nezha-dash/pull/273,,286.084,286.497,286.084,primera_review_aprobada,
3225468380-A,3225468380,merged_after_rework,closed,true,263179176,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/585,,3.257,3.273,3.257,primera_review_aprobada,
3225681004-A,3225681004,merged_after_rework,closed,true,263179176,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/588,,,0.289,0.289,merge_sin_review_aprobada,
3226441877-A,3226441877,merged_after_rework,closed,true,138458545,https://github.com/python/python-docs-zh-tw/pull/1110,,2.743,23.684,2.743,primera_review_aprobada,
3228266614-A,3228266614,merged_after_rework,closed,true,134777298,https://github.com/microsoft/vscode-pull-request-github/pull/7288,,5.963,8.193,5.963,primera_review_aprobada,
3228390000-A,3228390000,merged_after_rework,closed,true,421774239,https://github.com/elastic/terraform-provider-elasticstack/pull/1204,,0.908,80.921,0.908,primera_review_aprobada,
3230608495-A,3230608495,merged_after_rework,closed,true,263179176,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/597,,,0.536,0.536,merge_sin_review_aprobada,
3230736954-A,3230736954,merged_after_rework,closed,true,27460436,https://github.com/microsoft/ApplicationInsights-Java/pull/4328,,10.789,12.009,10.789,primera_review_aprobada,
3232013571-A,3232013571,merged_after_rework,closed,true,42032884,https://github.com/commons-app/apps-android-commons/pull/6375,,2.405,2.562,2.405,primera_review_aprobada,
3232670129-A,3232670129,merged_after_rework,closed,true,967503541,https://github.com/Azure/azure-mcp/pull/604,,1.436,50.333,1.436,primera_review_aprobada,
3235469054-A,3235469054,merged_after_rework,closed,true,268547203,https://github.com/dai-shi/excalidraw-claymate/pull/110,,4.597,4.608,4.597,primera_review_aprobada,
3237746082-A,3237746082,merged_after_rework,closed,true,25868356,https://github.com/thrasher-corp/gocryptotrader/pull/1977,,8.993,95.428,8.993,primera_review_aprobada,
3237976887-A,3237976887,merged_after_rework,closed,true,263179176,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/604,,,40.940,40.940,merge_sin_review_aprobada,
3239311333-A,3239311333,merged_after_rework,closed,true,694946961,https://github.com/AfterShip/clickhouse-sql-parser/pull/175,,2.292,2.297,2.292,primera_review_aprobada,
3245471319-A,3245471319,merged_after_rework,closed,true,93882897,https://github.com/shader-slang/slang/pull/7841,,0.837,48.837,0.837,primera_review_aprobada,
